Epoch,Learner,Loss,Accuracy
0,0,1.3330183029174805,0.551800012588501
0,1,1.33920419216156,0.5401999950408936
0,2,1.2566856145858765,0.5733000040054321
0,3,1.2494481801986694,0.5597000122070312
0,4,1.2230329513549805,0.5741999745368958
1,0,1.3252431154251099,0.5519000291824341
1,1,1.338422417640686,0.5407000184059143
1,2,1.249078392982483,0.5846999883651733
1,3,1.2537930011749268,0.560699999332428
1,4,1.2222851514816284,0.5717999935150146
2,0,1.439398169517517,0.5033575892448425
2,1,1.4637951850891113,0.4942641258239746
2,2,1.4935476779937744,0.49118635058403015
2,3,1.4418367147445679,0.49664241075515747
2,4,1.452321171760559,0.48978734016418457
3,0,1.6351407766342163,0.445007860660553
3,1,1.6825153827667236,0.4264731705188751
3,2,1.676984429359436,0.42122748494148254
3,3,1.557778239250183,0.4455324411392212
3,4,1.680809497833252,0.4310193955898285
4,0,1.762177586555481,0.41131773591041565
4,1,1.7218960523605347,0.41511696577072144
4,2,1.6788150072097778,0.399320125579834
4,3,1.6246672868728638,0.4343131482601166
4,4,1.6479171514511108,0.42591482400894165
5,0,1.7265537977218628,0.39476650953292847
5,1,1.689971685409546,0.4186781048774719
5,2,1.695068359375,0.39544326066970825
5,3,1.7082669734954834,0.3992781341075897
5,4,1.6155897378921509,0.4243176281452179
6,0,1.7372225522994995,0.4006960093975067
6,1,1.7684199810028076,0.3753417730331421
6,2,1.7948155403137207,0.3922446072101593
6,3,1.8045519590377808,0.3820531964302063
6,4,1.760875940322876,0.41710165143013
7,0,1.8200526237487793,0.3854595422744751
7,1,1.7920562028884888,0.3561042547225952
7,2,1.7521634101867676,0.36406034231185913
7,3,1.832242488861084,0.383539080619812
7,4,1.8216747045516968,0.3668038547039032
8,0,1.9339598417282104,0.3669402003288269
8,1,1.9214808940887451,0.34114888310432434
8,2,1.7824673652648926,0.3596131205558777
8,3,1.9355671405792236,0.3499413728713989
8,4,1.7648519277572632,0.3792497217655182
9,0,1.8105134963989258,0.37137511372566223
9,1,1.813392162322998,0.36170876026153564
9,2,1.8189653158187866,0.3570314943790436
9,3,1.8791379928588867,0.3723105788230896
9,4,1.778151512145996,0.36825692653656006
10,0,1.7753738164901733,0.3481995463371277
10,1,1.905174732208252,0.34159234166145325
10,2,1.9036422967910767,0.3313511610031128
10,3,1.9952709674835205,0.332011878490448
10,4,1.8393404483795166,0.34093162417411804
11,0,1.9189636707305908,0.34136125445365906
11,1,1.8342012166976929,0.3403141498565674
11,2,1.8969142436981201,0.3364746868610382
11,3,1.8681838512420654,0.34450262784957886
11,4,1.9536089897155762,0.32495635747909546
12,0,1.8603636026382446,0.34318432211875916
12,1,1.8479037284851074,0.3339490294456482
12,2,1.9568878412246704,0.352050244808197
12,3,1.8319214582443237,0.3553749620914459
12,4,1.9488672018051147,0.3272995948791504
13,0,1.9382051229476929,0.32999229431152344
13,1,1.9618662595748901,0.3134155869483948
13,2,1.8879683017730713,0.352351576089859
13,3,1.876294732093811,0.3770239055156708
13,4,1.8922955989837646,0.3307633101940155
14,0,1.916493535041809,0.32542237639427185
14,1,1.9619337320327759,0.33547869324684143
14,2,1.8365225791931152,0.34674176573753357
14,3,1.930885672569275,0.33427193760871887
14,4,1.8165788650512695,0.3495575189590454
15,0,1.886817455291748,0.33403098583221436
15,1,1.8712313175201416,0.33444955945014954
15,2,1.9121005535125732,0.34491419792175293
15,3,1.9200165271759033,0.34282127022743225
15,4,1.7791112661361694,0.3574717342853546
16,0,2.0285544395446777,0.30314961075782776
16,1,1.909082293510437,0.34426945447921753
16,2,1.8674999475479126,0.33070865273475647
16,3,2.0252366065979004,0.3289588689804077
16,4,2.0369787216186523,0.29221346974372864
17,0,1.880890130996704,0.3265947997570038
17,1,1.944369912147522,0.32389935851097107
17,2,2.0268359184265137,0.3176100552082062
17,3,2.0939297676086426,0.3050314486026764
17,4,2.089653491973877,0.3185085356235504
18,0,1.9769394397735596,0.3205896019935608
18,1,1.9026869535446167,0.32151082158088684
18,2,1.9311490058898926,0.3307231664657593
18,3,1.8723539113998413,0.33256563544273376
18,4,1.973897099494934,0.3311837911605835
