Epoch,Learner,Loss,Accuracy
0,0,1.5244629383087158,0.4609000086784363
0,1,1.5208021402359009,0.45080000162124634
0,2,1.938650369644165,0.34299999475479126
0,3,1.5591906309127808,0.4438000023365021
0,4,1.560759425163269,0.4447000026702881
1,0,1.5216715335845947,0.46127501130104065
1,1,1.5228339433670044,0.45247501134872437
1,2,1.9377402067184448,0.34272500872612
1,3,1.572022795677185,0.4329249858856201
1,4,1.5708779096603394,0.4459500014781952
2,0,1.4747321605682373,0.4959571957588196
2,1,1.7564785480499268,0.45169439911842346
2,2,1.702491283416748,0.47494053840637207
2,3,1.5695160627365112,0.47604042291641235
2,4,1.5715811252593994,0.48106420040130615
3,0,1.5743013620376587,0.4660744369029999
3,1,1.5768373012542725,0.49312645196914673
3,2,1.7571145296096802,0.44436851143836975
3,3,1.5636050701141357,0.4786960482597351
3,4,1.5310639142990112,0.48207250237464905
4,0,1.7153246402740479,0.441888689994812
4,1,1.6394442319869995,0.4493200480937958
4,2,1.6109613180160522,0.443000853061676
4,3,1.5964441299438477,0.46286842226982117
4,4,1.5878328084945679,0.4638289213180542
5,0,1.6804834604263306,0.42773863673210144
5,1,1.752526879310608,0.4348433315753937
5,2,1.7362335920333862,0.4270099699497223
5,3,1.7857236862182617,0.41419723629951477
5,4,1.7697169780731201,0.4274350106716156
6,0,1.7291028499603271,0.4293663501739502
6,1,1.616349458694458,0.43263545632362366
6,2,1.847011685371399,0.4020310342311859
6,3,1.810665488243103,0.4148987829685211
6,4,1.952367901802063,0.38478124141693115
7,0,1.7659555673599243,0.4079733192920685
7,1,1.6684961318969727,0.42565733194351196
7,2,1.7498539686203003,0.4185216724872589
7,3,1.7366060018539429,0.41875436902046204
7,4,1.7465239763259888,0.40874892473220825
8,0,1.7780948877334595,0.40400946140289307
8,1,1.7327325344085693,0.3962181508541107
8,2,1.793302297592163,0.3914908468723297
8,3,1.7614152431488037,0.4057603180408478
8,4,1.8123430013656616,0.3858005702495575
9,0,1.8899403810501099,0.36780840158462524
9,1,1.8117879629135132,0.37887606024742126
9,2,1.8752318620681763,0.3819292187690735
9,3,1.8196794986724854,0.38956207036972046
9,4,1.882514476776123,0.364469051361084
10,0,1.8055695295333862,0.389036625623703
10,1,1.9708808660507202,0.3845367133617401
10,2,1.864213228225708,0.3751278519630432
10,3,1.9054148197174072,0.372673362493515
10,4,1.8299897909164429,0.38924115896224976
11,0,1.9331587553024292,0.3672366142272949
11,1,1.8253365755081177,0.39338114857673645
11,2,1.8295353651046753,0.37738555669784546
11,3,1.9719161987304688,0.37286266684532166
11,4,1.8678759336471558,0.37716493010520935
12,0,1.9629549980163574,0.3598771393299103
12,1,1.9260841608047485,0.3485349714756012
12,2,1.8720121383666992,0.37228259444236755
12,3,1.9004892110824585,0.3585774898529053
12,4,1.8687012195587158,0.3713374435901642
13,0,1.9302756786346436,0.3530142903327942
13,1,1.9955196380615234,0.3552516996860504
13,2,2.0134782791137695,0.3433188199996948
13,3,1.9698436260223389,0.3321317732334137
13,4,1.8487882614135742,0.36991921067237854
14,0,1.8930429220199585,0.3537593483924866
14,1,1.8280184268951416,0.36963653564453125
14,2,1.9515180587768555,0.3460175693035126
14,3,1.8664742708206177,0.35572758316993713
14,4,2.0164554119110107,0.34050649404525757
15,0,1.9386624097824097,0.3489118218421936
15,1,1.902299165725708,0.349609375
