Epoch,Learner,Loss,Accuracy
0,0,1.1741254329681396,0.5910000205039978
0,1,1.2115287780761719,0.576200008392334
0,2,1.2598016262054443,0.5543000102043152
0,3,1.1865463256835938,0.5789999961853027
0,4,1.2287075519561768,0.58160001039505
1,0,1.1752384901046753,0.590399980545044
1,1,1.1950504779815674,0.5852000117301941
1,2,1.2446835041046143,0.5626000165939331
1,3,1.1537526845932007,0.6007999777793884
1,4,1.2126811742782593,0.5803999900817871
2,0,1.488747000694275,0.4711626470088959
2,1,1.5005000829696655,0.44675007462501526
2,2,1.5154427289962769,0.46658527851104736
2,3,1.6002459526062012,0.44949647784233093
2,4,1.6229305267333984,0.44736039638519287
3,0,1.6396278142929077,0.432049423456192
3,1,1.6055519580841064,0.42914244532585144
3,2,1.6446681022644043,0.4247819781303406
3,3,1.536718726158142,0.4716569781303406
3,4,1.6122690439224243,0.45094478130340576
4,0,1.7366725206375122,0.41338416934013367
4,1,1.7192082405090332,0.40787801146507263
4,2,1.7066116333007812,0.38881829380989075
4,3,1.6891006231307983,0.39220669865608215
4,4,1.8149644136428833,0.3684879243373871
5,0,1.7687779664993286,0.39114558696746826
5,1,1.7671029567718506,0.3660429120063782
5,2,1.7487635612487793,0.39799177646636963
5,3,1.7586359977722168,0.39114558696746826
5,4,1.7084004878997803,0.3811045289039612
6,0,1.7845118045806885,0.3713143467903137
6,1,1.844678282737732,0.3478260934352875
6,2,1.800940752029419,0.3813093304634094
6,3,1.721130609512329,0.3803098499774933
6,4,1.7234851121902466,0.3773113489151001
7,0,1.759291172027588,0.3863757252693176
7,1,1.8332459926605225,0.35816922783851624
7,2,1.7902615070343018,0.37573176622390747
7,3,1.7212566137313843,0.37786057591438293
7,4,1.7695374488830566,0.37466737627983093
8,0,1.79718017578125,0.3592677414417267
8,1,1.8615951538085938,0.3546910881996155
8,2,1.8497234582901,0.3524027466773987
8,3,1.7694789171218872,0.3787185251712799
8,4,1.744228482246399,0.3569793999195099
9,0,1.9190127849578857,0.3347432017326355
9,1,1.8487727642059326,0.3564954698085785
9,2,1.8677983283996582,0.3456193208694458
9,3,1.7980403900146484,0.37764349579811096
9,4,1.896584391593933,0.3280966877937317
10,0,1.8694127798080444,0.3425867557525635
10,1,1.8622368574142456,0.34132492542266846
10,2,1.8479350805282593,0.3369085192680359
10,3,1.8450415134429932,0.34763407707214355
10,4,1.8844475746154785,0.34006309509277344
11,0,1.982320785522461,0.3431241512298584
11,1,1.833630084991455,0.3531375229358673
11,2,1.92959725856781,0.35514017939567566
11,3,2.01350998878479,0.3184245526790619
11,4,1.9151055812835693,0.3351134955883026
12,0,1.8836815357208252,0.33973920345306396
12,1,1.9485890865325928,0.3212079703807831
12,2,1.9358471632003784,0.330130398273468
12,3,1.7786073684692383,0.351406991481781
12,4,1.8631635904312134,0.3452299237251282
13,0,1.899370551109314,0.3359375
13,1,1.8761978149414062,0.3295454680919647
13,2,1.8067947626113892,0.34375
13,3,1.9225056171417236,0.30965909361839294
13,4,1.8448413610458374,0.3480113744735718
14,0,1.8894068002700806,0.3390081524848938
14,1,1.8869426250457764,0.32642486691474915
14,2,1.8625729084014893,0.3123612105846405
14,3,1.9690674543380737,0.30792006850242615
14,4,1.881812572479248,0.3404885232448578
15,0,1.9194358587265015,0.32398754358291626
15,1,1.851191520690918,0.3317756950855255
15,2,2.017714262008667,0.30685359239578247
15,3,1.8662993907928467,0.33722740411758423
15,4,1.9351966381072998,0.3208722770214081
16,0,1.8467535972595215,0.32369476556777954
16,1,1.9169378280639648,0.3140562176704407
16,2,1.9487465620040894,0.30040159821510315
16,3,1.9830546379089355,0.32289156317710876
16,4,1.8891206979751587,0.34939759969711304
17,0,1.9135853052139282,0.3410024642944336
17,1,1.9194024801254272,0.31059983372688293
17,2,1.9000815153121948,0.3278553783893585
17,3,1.9297600984573364,0.3336072266101837
17,4,1.8661348819732666,0.3467543125152588
18,0,1.9389256238937378,0.30742955207824707
18,1,2.021827220916748,0.3210930824279785
18,2,2.02816104888916,0.31084543466567993
18,3,1.9850555658340454,0.3023057281970978
18,4,1.950574517250061,0.3321947157382965
19,0,1.8868764638900757,0.31611207127571106
19,1,1.9565211534500122,0.30035024881362915
19,2,1.9953281879425049,0.31873905658721924
19,3,1.9947127103805542,0.32136601209640503
19,4,1.99905526638031,0.31260946393013
20,0,1.9225022792816162,0.2981199622154236
20,1,2.0562336444854736,0.2793196141719818
20,2,1.9574607610702515,0.32855865359306335
20,3,1.8866780996322632,0.32587286829948425
20,4,2.0279741287231445,0.3160250782966614
21,0,1.979730486869812,0.25782689452171326
21,1,1.912022590637207,0.3342541456222534
21,2,2.001227855682373,0.294659286737442
21,3,1.9472417831420898,0.3379373848438263
21,4,1.9897148609161377,0.304788202047348
22,0,2.174607276916504,0.2877492904663086
22,1,1.9720731973648071,0.3114909827709198
22,2,1.987242579460144,0.30484330654144287
22,3,1.9291225671768188,0.32573598623275757
22,4,2.0040156841278076,0.3067426383495331
23,0,1.9770313501358032,0.2955426275730133
23,1,2.0151960849761963,0.31976744532585144
23,2,2.0319392681121826,0.2848837077617645
23,3,1.8857685327529907,0.3032945692539215
23,4,1.9742234945297241,0.31201550364494324
24,0,2.0405430793762207,0.28470826148986816
24,1,1.961160659790039,0.286720335483551
24,2,2.055142879486084,0.310865193605423
24,3,2.1222755908966064,0.29376256465911865
24,4,1.9721834659576416,0.2947686016559601
25,0,2.00010085105896,0.308808296918869
25,1,2.0333921909332275,0.28186529874801636
25,2,2.297976016998291,0.28393781185150146
25,3,1.9822361469268799,0.2911916971206665
25,4,2.0243635177612305,0.2891191840171814
26,0,2.0440757274627686,0.2711864411830902
26,1,1.9645349979400635,0.2944915294647217
26,2,2.133491277694702,0.26271185278892517
26,3,1.9604753255844116,0.35169491171836853
26,4,2.0126824378967285,0.30296608805656433
27,0,1.9248077869415283,0.27934783697128296
27,1,1.990527868270874,0.28478261828422546
27,2,2.085986375808716,0.2760869562625885
27,3,1.9582693576812744,0.30543479323387146
27,4,2.0513722896575928,0.2771739065647125
28,0,2.0963313579559326,0.2795100212097168
28,1,2.035128593444824,0.28619152307510376
28,2,2.0776844024658203,0.29064586758613586
28,3,2.118499755859375,0.27394208312034607
28,4,2.1243367195129395,0.2973273992538452
29,0,2.036041259765625,0.29080459475517273
29,1,1.9840726852416992,0.3057471215724945
29,2,2.173266887664795,0.27931034564971924
29,3,2.0927443504333496,0.28390803933143616
29,4,2.114591598510742,0.26321840286254883
30,0,2.1592485904693604,0.2632197439670563
30,1,2.155022621154785,0.25851938128471375
